Name,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48
ASV1,7331,1,11418,84,2,8528,3174,0,2719,5040,2,5625,8,3800,7611,4594,4342,1899,4431,3669,4950,3981,3734,3365
ASV3,0,4515,2,0,3609,3,0,285,5,0,6512,0,16391,1,0,117,521,39,0,208,77,54,221,0
ASV4,3,0,41,2,0,1371,1,0,1,0,0,0,1,2991,0,2315,310,1619,0,785,531,2948,3528,1
ASV5,0,4,0,1,21,0,0,8998,0,0,8,35,12,0,0,1,1,0,0,1,4,0,2,3
ASV6,4,0,10,17,0,7,3,0,0,1,0,1156,0,3,1539,6,2,7,939,1,0,3,1,583
ASV7,1837,0,0,0,0,0,0,1,70,0,0,0,0,0,0,2,0,0,0,14,0,1468,1,0
ASV9,0,0,0,2447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10,0,0,0,0,0,0,1098,0,381,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV12,1,2,1,2,2,1,0,9,0,3,3,0,2,0,1,0,355,0,0,1,0,1253,33,0
ASV13,1,0,0,3,0,1,1133,1,210,2,17,28,0,1,17,0,0,0,97,1,0,20,2,50
ASV14,0,0,1,122,819,123,0,0,0,1,0,0,2,1,0,0,0,0,0,0,115,7,223,132
ASV15,0,0,0,1340,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ASV16,0,0,0,1291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV17,0,0,0,1268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV18,487,0,0,3,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0,35,0,246,5,0
ASV19,0,0,0,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV20,0,0,0,42,330,70,0,0,0,0,0,0,1,1,0,0,0,0,0,0,30,9,94,82
ASV21,0,0,0,547,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV22,0,0,0,28,286,56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33,2,58,57
ASV23,0,0,0,27,233,69,1,0,0,0,0,4,0,0,0,0,0,0,0,2,27,6,93,46
ASV24,0,0,0,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV25,2,0,0,432,0,0,0,0,35,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
ASV26,101,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,339,0,0
ASV27,1,0,2,1,0,51,0,0,0,1,0,0,0,56,1,56,12,22,0,19,39,86,81,1
ASV28,0,0,0,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV29,0,0,0,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV30,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV31,2,1,0,316,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ASV32,0,0,0,324,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV33,1,2,4,11,0,4,67,1,38,64,1,9,2,2,4,1,0,0,4,5,0,44,41,1
ASV34,202,0,0,0,2,1,2,2,0,0,0,0,2,2,2,9,4,1,0,4,0,56,2,0
ASV35,4,12,5,1,6,4,15,7,13,9,5,26,21,11,10,7,3,13,8,13,13,36,25,19
ASV36,0,0,0,282,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV37,0,0,1,23,156,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,13,7,19,29
ASV38,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ASV39,0,0,0,199,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV40,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV41,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV42,0,0,0,11,81,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,33,22
ASV43,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV44,142,0,0,0,1,0,3,0,5,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0
ASV45,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV46,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV47,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV48,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV49,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV50,0,0,0,6,84,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,15,5
ASV51,0,0,0,121,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ASV52,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV53,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV54,0,0,0,111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV55,0,0,0,109,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
ASV56,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV57,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV58,0,0,0,85,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV61,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV62,1,5,3,2,3,6,1,3,1,0,0,6,7,3,1,0,3,6,3,6,4,3,3,0
ASV63,0,0,0,5,34,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,14,0
ASV64,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV65,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV66,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV67,3,0,7,4,3,0,0,2,2,4,4,0,2,2,1,0,1,3,6,2,0,0,2,1
ASV68,1,0,0,0,0,0,2,0,4,5,7,2,1,2,1,4,2,3,8,4,2,0,0,0
ASV69,0,0,0,0,0,7,8,0,0,0,0,0,0,6,0,6,0,0,0,2,2,6,10,1
ASV70,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV71,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV72,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV73,2,3,0,1,1,0,0,0,2,0,2,2,0,0,0,4,2,1,4,3,0,2,2,5
ASV74,0,0,0,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV75,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV76,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,4,3,3
ASV77,0,0,0,3,3,0,7,0,0,0,0,5,1,0,0,0,0,5,0,0,0,0,6,1
ASV79,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV80,1,0,1,0,0,1,0,0,0,1,0,0,0,8,0,3,0,1,0,1,0,2,8,0
ASV81,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV82,2,0,3,1,1,1,4,0,0,2,4,0,0,0,1,1,0,0,2,0,0,0,3,1
ASV83,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,5
ASV84,1,1,1,1,0,0,1,5,0,0,1,3,3,0,2,1,0,0,0,2,0,1,0,0
ASV85,0,0,0,0,0,1,0,0,0,0,0,4,5,1,0,3,0,0,0,0,0,3,4,2
ASV86,0,0,0,0,0,0,1,2,0,0,4,1,0,0,0,2,1,0,0,0,0,1,8,2
ASV87,0,0,5,0,0,3,0,0,1,1,0,2,0,0,4,1,1,0,2,1,0,0,0,0
ASV88,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV89,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV90,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ASV91,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV92,0,0,0,0,2,0,1,1,0,0,0,1,1,0,0,4,0,0,0,7,0,0,1,0
ASV93,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV96,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,13,0,1,0,0,0,0
ASV97,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,2,4,0,1,3,0,0
ASV98,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV99,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV101,0,0,0,0,0,0,2,0,2,0,0,2,0,1,0,0,0,0,0,5,2,0,0,0
ASV102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
ASV103,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
ASV104,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,5,0,0,1,0,0,0,2,0
ASV105,0,1,0,0,1,0,1,0,0,0,0,0,0,1,2,0,2,1,0,0,3,0,0,0
ASV106,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,1,0,3,0,1,0
ASV108,0,0,0,0,0,1,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1
ASV109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,7
ASV110,2,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0
ASV111,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0
ASV112,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
ASV113,0,0,0,0,0,0,0,1,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV114,0,0,1,0,0,0,1,0,0,0,0,2,0,1,1,0,1,0,0,1,1,0,0,0
ASV115,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV116,0,0,0,0,1,0,3,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
ASV117,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,0
ASV120,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,3,0,0,0,0
ASV121,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,3,1,0
ASV122,1,2,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ASV123,0,1,0,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0
ASV125,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,0
ASV126,0,1,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV127,0,3,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
ASV128,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
ASV129,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ASV130,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV131,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV133,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0
ASV134,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ASV135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0
ASV137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0
ASV138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0
ASV139,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
ASV140,0,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV141,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV142,0,0,0,0,1,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ASV143,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ASV144,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0
ASV145,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0
ASV147,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0
ASV149,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV150,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
