Name,M25,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48
ASV335,0,3,2,0,206,28067,3,43733,60847,5,1,1,129,3,4,4,1,2,3,0,4,2,1
ASV336,0,0,3216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV337,0,1,0,0,0,0,0,0,0,0,0,0,0,532,336,0,353,70,0,0,0,0,0
ASV338,0,479,0,0,0,0,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0
ASV339,0,159,0,0,313,0,0,0,0,1,0,0,0,0,0,0,5,0,3,74,55,258,131
ASV340,0,448,2,0,0,0,0,0,0,2,1,0,102,0,0,0,0,0,1,287,2,0,0
ASV341,0,0,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ASV342,0,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV343,0,306,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0
ASV344,0,0,0,0,408,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
ASV345,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,0,0,0,0,0,0,0,0
ASV347,0,0,0,0,0,0,0,0,0,0,337,0,0,0,0,0,0,0,0,0,0,0,0
ASV348,0,1,2,0,0,0,0,0,0,0,0,279,0,0,0,0,0,1,11,0,0,0,0
ASV349,0,0,0,0,0,51,0,99,138,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ASV350,0,0,0,0,0,79,0,87,105,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ASV351,0,0,0,0,0,58,0,86,126,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ASV352,0,0,0,0,0,33,0,101,121,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ASV353,0,0,0,0,0,61,0,73,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV354,0,0,0,0,0,44,0,95,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV355,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV356,0,0,0,0,0,42,0,67,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV357,0,0,0,0,0,42,0,80,120,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ASV358,0,0,0,0,0,56,0,65,114,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ASV359,0,0,0,0,0,49,0,85,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV360,0,0,0,0,19,51,0,88,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV361,0,0,0,0,2,59,0,81,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ASV362,0,0,0,0,0,50,0,88,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV363,0,0,0,0,0,62,0,50,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV364,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ASV365,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0
ASV366,0,0,0,0,0,35,0,86,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV367,0,0,0,0,0,47,0,60,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV368,0,0,0,0,0,47,0,70,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV369,0,0,0,0,1,34,0,84,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV370,0,0,0,0,0,29,0,63,88,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ASV371,0,0,0,0,1,31,0,69,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV372,0,0,0,0,0,25,0,62,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV373,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ASV374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0
ASV375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0
ASV376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,135,0
ASV377,0,0,0,58,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV378,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV379,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV380,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV381,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV382,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV383,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV384,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV385,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
ASV387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
ASV388,0,0,0,0,0,9,0,19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV389,0,0,0,0,0,10,0,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV390,0,0,0,0,0,2,4,1,2,1,0,2,0,0,0,0,0,0,0,0,0,9,1
ASV391,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0
ASV392,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV393,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV394,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV395,0,0,0,0,0,3,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV396,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV397,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
ASV399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
ASV400,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV401,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV402,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV403,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV404,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV405,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ASV406,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ASV407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ASV408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ASV409,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV410,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV411,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV412,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV413,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
